t,Equal Weight,Max Sharpe,Min Volatility,Risk Parity
2024-02-28 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-29 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-03-01 04:00:00,114971.59679772632,116154.79238627836,101626.1982277572,109453.35030266047
2024-03-04 04:00:00,114971.59679772632,116154.79238627836,101626.1982277572,109453.35030266047
2024-03-05 04:00:00,114971.59679772632,116154.79238627836,101626.1982277572,109453.35030266047
2024-03-06 04:00:00,114971.59679772632,116154.79238627836,101626.1982277572,109453.35030266047
2024-03-07 04:00:00,114971.59679772632,116154.79238627836,101626.1982277572,109453.35030266047
2024-03-08 04:00:00,114971.59679772632,116154.79238627836,101626.1982277572,109453.35030266047
2024-03-11 04:00:00,130864.75781687027,127351.09161129752,107094.0224765368,120471.72814198869
2024-03-12 04:00:00,131770.77728511734,127434.01038888124,106550.16374842922,120770.15119942778
2024-03-13 04:00:00,131888.21416977298,127615.09354496804,106635.91660520952,120854.62863610157
2024-03-14 04:00:00,132179.51897223762,127903.90216498938,106812.09877022688,121165.81022469362
2024-03-15 04:00:00,131238.31572673735,127169.85254833908,106516.18164822746,120491.45109507415
2024-03-18 04:00:00,131882.91540195548,127640.05780955366,106834.03076702773,121020.73760308356
2024-03-19 04:00:00,132670.76374579314,128354.60201859366,107361.48980990912,121719.19747462092
2024-03-20 04:00:00,133899.80584384964,130025.30984009893,108041.00560203267,122685.13126380202
2024-03-21 04:00:00,133963.08867189076,128552.66415638654,107379.14415103936,122407.9273619778
2024-03-22 04:00:00,133860.8494343205,128270.39819626452,107493.99581813197,122419.80971650124
2024-03-25 04:00:00,133475.76698772554,128149.28538722431,107460.09463821031,122202.5731537514
2024-03-26 04:00:00,133203.51478138912,127932.12934661593,107312.6077962532,121949.3594996818
2024-03-27 04:00:00,134492.4317334556,129542.48489819231,108474.3164636566,123183.52697350534
2024-03-28 04:00:00,134743.3174110417,129980.34180254064,108898.75806576078,123487.5339948058
2024-03-29 04:00:00,134743.3174110417,129980.34180254064,108898.75806576078,123487.5339948058
2024-04-01 04:00:00,134648.9702054814,130240.24337960656,108636.597690668,123324.8590298344
2024-04-02 04:00:00,134594.95737727004,130769.94496761596,109259.98776600033,123556.54028236691
2024-04-03 04:00:00,134904.6813771222,131656.96461726032,109624.42198888231,123867.5386108295
2024-04-04 04:00:00,133933.2285261532,130650.8305597528,109596.1655947994,123312.9616412646
2024-04-05 04:00:00,135486.42760427744,132619.50965139078,110288.17688780822,124483.2707114561
2024-04-08 04:00:00,135481.1346090261,132815.50851605716,110178.75953508791,124390.16550627832
2024-04-09 04:00:00,135911.09079554304,133391.36011664436,110907.99798640225,124952.09521066584
2024-04-10 04:00:00,134939.34279779595,132367.7257446588,109949.52396423004,124025.73594583558
2024-04-11 04:00:00,136454.10893255004,135506.0863736939,111277.61834571576,125434.0632147576
2024-04-12 04:00:00,134190.3756371247,133892.0289167232,110781.1655572302,124005.95510921648
2024-04-15 04:00:00,132945.96815705078,133807.43029364228,110300.41082891072,123008.33626516486
2024-04-16 04:00:00,132315.9507928444,133001.73312671084,109587.88872693053,122323.32977155525
2024-04-17 04:00:00,131617.35249254142,131931.1292184522,109426.70991846762,121860.92990930338
2024-04-18 04:00:00,131046.99596518876,131702.7567810285,109185.07252243024,121425.05020638624
2024-04-19 04:00:00,130519.48402733258,131063.13248430188,109375.10624184052,121189.36657099603
2024-04-22 04:00:00,131169.14258737248,130346.48539491509,108751.31370274012,121359.8572566395
2024-04-23 04:00:00,132356.77271466775,130919.07899043291,108976.56329495896,122150.85814888596
2024-04-24 04:00:00,132301.96039677612,130904.24070505577,108992.80385036416,122157.75864164453
2024-04-25 04:00:00,131662.13152157312,131040.70606206937,109045.64242017812,121827.4250779459
2024-04-26 04:00:00,132525.94832841965,131954.70259346554,108604.58624697712,122029.7732724198
2024-04-29 04:00:00,133177.3264891899,132919.8683163517,109545.92396969305,122859.6943232874
2024-04-30 04:00:00,130701.29667080245,130133.23351390178,107853.16940851593,120749.6953997947
2024-05-01 04:00:00,130924.12897886786,130892.58841514832,107713.74475078148,120696.94390918958
2024-05-02 04:00:00,132172.3556684225,132364.09031686708,108288.36006856294,121661.41668915415
2024-05-03 04:00:00,134001.93802389893,135045.60288460567,109913.11283666865,123461.68441945437
2024-05-06 04:00:00,135054.81553859322,135605.6940567808,110358.96887155205,124224.54249025592
2024-05-07 04:00:00,134913.37171359465,135512.23064429525,110314.8342331243,124129.68954168267
2024-05-08 04:00:00,135075.8151280871,135525.28084827575,110104.38288876426,124121.6995978735
2024-05-09 04:00:00,136266.49234013492,137154.51884755786,111437.3287354511,125383.46933449544
2024-05-10 04:00:00,136188.42377778192,137046.33093605484,111264.23182637112,125238.66827090563
2024-05-13 04:00:00,136247.92359001804,137091.5760025725,111376.76021965622,125367.7849913018
2024-05-14 04:00:00,137050.4985145057,138062.41622521885,111927.52639209625,126024.22124621258
