final_value,Method
187839.50281572796,parametric
209392.7089377429,parametric
299531.8995737314,parametric
279982.79177179246,parametric
396914.7331973549,parametric
248151.26880205487,parametric
208193.96117158487,parametric
278378.9737224567,parametric
277874.98126654327,parametric
389069.4734189108,parametric
265855.29802793346,parametric
551797.3355516858,parametric
313417.03257147013,parametric
292130.103775732,parametric
312691.1916062698,parametric
146982.07363053077,parametric
317977.08607669943,parametric
504150.7908164097,parametric
397534.32042023656,parametric
391672.6035525467,parametric
496273.29320278537,parametric
574433.5419560124,parametric
312846.0352384082,parametric
284651.66934842325,parametric
247502.0677979481,parametric
285101.84357048967,parametric
334291.5387703135,parametric
377992.5327428197,parametric
572498.7835559283,parametric
374165.9110849369,parametric
385462.2523694989,parametric
415197.786729397,parametric
291343.425710012,parametric
375941.0029005492,parametric
294662.2412288932,parametric
261990.9625861441,parametric
347825.0959115983,parametric
223235.04049326232,parametric
294278.0719632472,parametric
162671.60477751604,parametric
318959.07204311073,parametric
301329.40162207815,parametric
256074.08776655144,parametric
349226.267947308,parametric
264705.00756567274,parametric
316708.90558258333,parametric
270765.576636668,parametric
146457.44362680832,parametric
605775.8586096148,parametric
415758.1874063087,parametric
332125.5364742494,parametric
581587.1052892286,parametric
229377.5032516285,parametric
492429.7832905077,parametric
325705.35904216225,parametric
352680.3211978157,parametric
287966.9506825526,parametric
443311.9913305539,parametric
341339.6006410239,parametric
317047.7215894446,parametric
370767.4240358191,parametric
238059.96624820324,parametric
523610.0845981608,parametric
375201.94256135006,parametric
237335.91633799727,parametric
312222.75163918186,parametric
254326.11974312665,parametric
504233.8501792999,parametric
329541.9391112704,parametric
353862.4567315637,parametric
289251.1452333205,parametric
186591.28546185605,parametric
253241.7288584812,parametric
378474.3078054823,parametric
177070.41538032933,parametric
256796.45415224988,parametric
179646.53586693853,parametric
309708.8485716356,parametric
317491.99079589965,parametric
423166.7081042656,parametric
214174.9151125877,parametric
286926.3782058641,parametric
314551.5284027675,parametric
366162.5584368469,parametric
305770.3550679902,parametric
281706.3176811832,parametric
387991.0891504118,parametric
321888.5851704883,parametric
476709.9144484395,parametric
330912.2118924018,parametric
372484.0881148225,parametric
360660.4078292168,parametric
211745.04720477277,parametric
225649.5397820601,parametric
221502.7786620508,parametric
145798.8265094294,parametric
229199.88231172788,parametric
463657.5123827228,parametric
399137.3359986904,parametric
377486.4807893373,parametric
245394.3304227852,parametric
443552.0293094429,parametric
243611.7652763253,parametric
287219.6616814073,parametric
254775.73795251423,parametric
361324.3874152536,parametric
267917.1882525125,parametric
227958.86078357795,parametric
298180.6151982003,parametric
186040.57753085747,parametric
302437.44918232615,parametric
314681.2873940578,parametric
250853.8986244897,parametric
309126.5907350937,parametric
226530.3716516752,parametric
192936.5354209597,parametric
243850.34439080683,parametric
445839.1670016542,parametric
329488.36901110923,parametric
377205.7404011562,parametric
355874.84173551365,parametric
290191.96573701984,parametric
558783.8339084659,parametric
331048.495615854,parametric
283795.8857727161,parametric
296394.2854672661,parametric
429815.97091517225,parametric
311129.4443390727,parametric
206694.4611336719,parametric
227084.84884721856,parametric
239782.75738587705,parametric
313843.9574609965,parametric
271888.1800658453,parametric
237156.48861289545,parametric
278727.4174097391,parametric
208264.99677669985,parametric
277467.63328634365,parametric
262414.7264126291,parametric
271270.2504452708,parametric
419373.9268457641,parametric
182480.7105729727,parametric
311507.65815397014,parametric
392921.4985467222,parametric
242729.3417223983,parametric
255685.50660324888,parametric
220659.6310179668,parametric
204758.25486920404,parametric
224031.6760061764,parametric
290733.353783848,parametric
208670.2133154993,parametric
186536.61482337036,parametric
346721.65775221895,parametric
256307.75241262195,parametric
420483.9167644477,parametric
681470.1822732368,parametric
350996.34239420854,parametric
320515.2452872539,parametric
308393.20643511554,parametric
242120.8552941469,parametric
385353.8534294861,parametric
364968.840686727,parametric
297546.57004289853,parametric
277999.33784558554,parametric
385793.233359629,parametric
424092.8180434296,parametric
342334.62214196,parametric
318577.69164714235,parametric
384534.69296675886,parametric
420909.3164452389,parametric
326317.77406359365,parametric
284921.9489193676,parametric
263077.41456254805,parametric
429292.0750787025,parametric
229414.9175881807,parametric
392354.8631756301,parametric
239990.3010690781,parametric
398788.9306890879,parametric
429480.267683034,parametric
377126.8811233259,parametric
247399.4861694991,parametric
